item_name,item_type,ingredients,common_allergens,risk_level
Falafel,food,"chickpeas, flour, herbs, sesame","gluten, sesame",medium
Pad Thai,food,"rice noodles, shrimp, egg, peanuts, soy","shellfish, eggs, peanuts, soy",high
Peanut Soup,food,"peanuts, broth, spices","peanuts",high
Nut Mix,food,"peanuts, cashews, almonds, walnuts","peanuts, tree nuts",high
Prawn Crackers,food,"prawns, tapioca, oil","shellfish",high
Clam Chowder,food,"clams, milk, potato, cream","shellfish, dairy",high
Battered Fish,food,"fish, wheat flour, egg","fish, gluten, eggs",high
Rye Bread,food,"rye flour, wheat, yeast","gluten",high
Spelt Pasta,food,"spelt flour, water","gluten",high
Crab Cakes,food,"crab, breadcrumbs, egg, mayo","shellfish, gluten, eggs",high
Scallop Risotto,food,"scallops, rice, butter, wine","shellfish, dairy",high
Hazelnut Spread,food,"hazelnuts, cocoa, milk, sugar","tree nuts, dairy",high
Macadamia Cookies,food,"macadamia, flour, butter, egg","tree nuts, gluten, dairy, eggs",high
Pistachio Ice Cream,food,"pistachios, cream, sugar","tree nuts, dairy",high
Soymilk,food,"soybeans, water, vitamins","soy",high
Tempeh,food,"soybeans, vinegar","soy",high
Edamame,food,"soybeans, salt","soy",high
Mochi,food,"rice flour, sugar, bean paste","none",low
Jasmine Rice,food,"jasmine rice","none",low
Baked Potato,food,"potato, olive oil, salt","none",low
Watermelon,food,"watermelon","none",low
Grapes,food,"grapes","none",low
Mango Sorbet,food,"mango, sugar, water","none",low
Plain Popcorn,food,"popcorn, salt","none",low
Sparkling Water,food,"water, CO2","none",low
Black Coffee,food,"coffee, water","none",low
Green Tea,food,"green tea leaves, water","none",low
Steamed Broccoli,food,"broccoli, salt","none",low
Boiled Eggs,food,"eggs","eggs",medium
Tuna Salad,food,"tuna, mayo, celery","fish",medium
Pesto Pasta,food,"basil, pine nuts, parmesan, pasta","tree nuts, dairy, gluten",high
Lasagna,food,"pasta, beef, tomato, cheese, milk","gluten, dairy",high
Beef Burger,food,"beef, wheat bun, cheese, egg","gluten, dairy, eggs",high
French Toast,food,"bread, egg, milk, sugar","gluten, eggs, dairy",high
Pancakes,food,"wheat flour, egg, milk, butter","gluten, eggs, dairy",high
Waffles,food,"wheat flour, egg, milk, butter","gluten, eggs, dairy",high
Cereal,food,"wheat, oats, milk","gluten, dairy",high
Croissant,food,"wheat flour, butter, egg, milk","gluten, dairy, eggs",high
Loxoprofen,medicine,"loxoprofen sodium, cellulose","nsaid",medium
Erythromycin,medicine,"erythromycin, lactose, starch","macrolide antibiotic",medium
Tetracycline,medicine,"tetracycline hcl, calcium","tetracycline antibiotic",medium
Tramadol,medicine,"tramadol hcl, cellulose, starch","opioid",medium
